date,kanji,reading_ja,reading_en,season,subseason,category,gloss_en
2026-01-01,初烏,はつがらす,hatsugarasu,new year,new year,animals,first raven [cry]
2026-01-07,初日,はつひ,hatsu hi,new year,new year,the heavens,first sun
2026-02-19,雉,きじ,kiji,spring,all spring,animals,pheasant
2026-03-21,春の月,はるのつき,haru no tsuki,spring,all spring,the heavens,moon in spring
2026-04-15,花見,はなみ,hanami,spring,late spring,daily life,
2026-05-05,初鰹,はつがつお,hatsugatsuo,summer,early summer,animals,first bonito
2026-06-15,菖蒲湯,しょうぶゆ,shōbuyu,summer,mid summer,daily life,iris bath
2026-07-15,水着,みずぎ,mizugi,summer,late summer,daily life,bathing suit
2026-08-15,女郎花,おみなえし,ominaeshi,autumn,early autumn,plants,yellow valerian
2026-09-15,白粉花,おしろいばな,oshiroibana,autumn,all autumn,plants,four o'clock flower
2026-10-20,藁塚,わらづか,warazuka,autumn,late autumn,daily life,rice-straw stack
2026-11-07,綿虫,わたむし,watamushi,winter,early winter,animals,bed bugs
2026-11-23,千鳥,ちどり,chidori,winter,all winter,animals,"plovers, sand pipers"
2026-12-15,冬木立,ふゆこだち,fuyu kodachi,winter,all winter,plants,winter grove
2026-12-31,冬田,ふゆた,fuyuta,winter,all winter,the earth,winter paddy
